"","stock[, 1]","Sec_10R","Sec_15R","Sec_20R","Sec_25R","Sec_30R","Sec_35R","Sec_40R","Sec_45R","Sec_50R","Sec_55R","Sec_60R"
"41",20140303,-0.012816931,-0.016694576,-0.009340889,-0.007335957,-0.011458902,-0.010053617,-0.013058241,-0.008334853,-0.003191479,-0.01083534,-0.001265699
"42",20140304,0.014428611,0.013677978,0.016123665,0.01352149,0.013619333,0.01593925,0.015889664,0.013441944,0.008724083,0.008464518,0.012988585
"43",20140305,-0.015302219,-0.015356266,0.002535703,-0.001445991,-0.003532988,0.000102979,0.002851104,0.002569487,0.000922343,-0.005662779,-0.004140077
"44",20140306,0.009821239,0.008704128,0.005269878,0.00538296,0.002977012,-0.003540976,0.006652212,0.005692468,0.003399341,-0.004680202,-0.006708884
"45",20140307,-0.003380789,-0.021995159,0.000869158,-0.001658117,-0.001740059,-0.003004321,-0.003174,-0.003827544,-0.012842134,0.004273157,-0.012576435
"46",20140310,-0.015910166,-0.018376323,-0.004954946,-0.006238845,-0.000165896,0.001242951,-0.005719468,0.000854036,-0.008538086,-0.002749026,-0.004444137
"47",20140311,-0.023708718,-0.011572393,-0.006060297,-0.005456282,0.002387855,-0.003873823,-0.007173697,0.000438885,-0.00889447,-0.002651108,0.007378886
"48",20140312,-0.003501641,0.006128351,0.000297345,-0.001917358,-0.001621393,-0.002910742,-0.011195236,0.007491808,-0.002482219,0.013137693,0.001241854
"49",20140313,-0.01824456,-0.004504967,-0.014918318,-0.013116289,-0.006650021,-0.013701648,-0.011728301,-0.014140084,-0.011314155,0.00979191,-0.006882767
"50",20140314,0.005735545,-0.003636447,-0.004255529,-0.005235184,-0.00291652,-0.004553841,-0.00422046,-0.008553966,-0.002617974,0.004765726,0.00117478
"51",20140317,0.005787916,0.015022155,0.011232903,0.010387164,0.007033743,0.007957178,0.008134052,0.012502002,0.005184592,0.006550973,0.003627124
