Date,Communication,Consumer_dis,Consumer_staple,Energy,Materials,Utilities,Real_estate,IT,Industrials,Healthcare,Financials
3/19/07,51.807205,51.647022,48.122883,65.447144,60.374714,53.168751,46.700081,46.292923,53.831181,47.327076,48.713001
3/20/07,52.116802,52.16716,48.631969,65.806252,60.609974,53.762634,46.887375,46.488476,54.065773,47.625,49.10672
3/21/07,52.894257,52.909,49.141052,66.98497,61.425529,54.539249,47.455101,47.421803,54.810062,48.138073,50.241554
3/22/07,53.121304,52.917515,49.290779,68.163719,61.307911,54.460945,47.501934,47.252918,54.761524,48.237373,49.95591
3/23/07,52.949299,52.977222,49.320709,68.600845,61.456894,54.689369,47.5312,47.155136,55.157932,48.096695,50.063992
3/26/07,52.811699,52.849316,49.275803,69.053627,61.864662,54.875122,46.770027,47.32402,54.850513,48.21254,49.872589
3/27/07,52.722263,52.482658,48.99131,69.100456,61.323586,54.921074,46.281441,47.048477,54.510731,47.881542,49.492882
3/28/07,52.144333,51.98811,48.938911,68.952141,60.774647,54.88168,45.975319,46.648468,53.95253,47.625,48.95821
3/29/07,52.51585,52.081902,49.051208,69.56102,60.939331,55.006401,46.051857,46.550697,54.122417,47.682926,49.190681
3/30/07,52.756641,52.098949,49.148533,68.819435,60.978535,54.697884,46.711174,46.559589,54.041515,47.84016,49.159676
4/2/07,53.011223,52.312126,49.403065,69.521988,61.276531,55.728447,47.005531,46.701809,54.065773,48.005669,49.004696
4/3/07,53.252026,52.900475,49.687557,69.670326,61.990162,55.780972,47.417583,47.26181,54.543098,48.551853,49.547134
4/4/07,53.190109,52.857834,49.822304,70.052818,62.021503,55.669361,47.182102,47.48402,54.478367,48.783562,49.415401
4/5/07,53.506577,53.147747,49.957073,70.349442,62.013683,55.761246,47.135025,47.73291,54.502647,49.155956,49.523891
4/9/07,53.403393,53.207447,50.024448,70.2948,62.648857,56.253567,47.22332,47.688469,54.632072,49.13113,49.469646
4/10/07,53.540993,53.292713,50.046906,71.379868,62.397934,56.437351,47.417583,47.724014,54.769608,49.164223,49.570393
4/11/07,53.066254,53.002796,49.799843,70.966133,61.982304,56.214188,46.711174,47.288471,54.332764,49.098022,49.22168
4/12/07,53.451546,53.284187,50.001984,72.004356,62.515545,56.043499,46.393291,47.73291,54.907135,49.511806,49.229427
4/13/07,53.71299,53.343876,50.084339,72.121452,62.742966,55.997566,46.917213,47.857357,54.963776,50.124168,49.469646
4/16/07,54.15332,53.821381,50.323906,72.566414,63.440895,56.358574,46.97607,48.239571,55.416813,50.571056,50.430515
4/17/07,53.912506,53.983387,50.541016,72.215149,63.174271,56.713039,47.588303,48.346233,55.432991,50.711735,50.546741
4/18/07,53.857464,53.93222,50.511066,71.684303,62.742966,56.850887,47.293961,48.337345,55.708057,50.571056,50.926476
4/19/07,53.768028,53.770218,50.570969,70.88028,62.609642,56.548943,46.97607,48.186234,55.586704,50.769661,50.841225
4/20/07,54.318439,54.12833,51.027637,72.09024,63.346809,57.021572,47.329273,48.532894,55.999283,51.067566,51.143433
4/23/07,53.981312,54.03455,50.907856,72.1605,63.338955,57.369446,47.859093,48.417358,56.088306,51.059296,51.027187
4/24/07,53.967556,53.881065,50.967743,71.941917,63.072327,57.763302,47.535309,48.790672,55.950783,51.001358,50.825726
4/25/07,54.057011,54.409725,51.177349,73.339211,63.997665,58.176815,47.505875,49.181782,56.484695,51.18343,51.368156
4/26/07,54.008839,54.537624,50.975224,73.526558,64.052567,57.796101,47.535309,49.324001,56.525158,51.282738,51.337147
4/27/07,53.733631,54.14539,50.847958,73.456322,63.832993,57.500748,47.417583,49.395111,57.131897,51.075844,51.251919
4/30/07,53.341469,53.488819,50.728176,72.511757,62.891975,56.844311,46.652309,48.888462,56.589874,50.786201,50.879955
5/1/07,53.410275,53.548515,50.570969,72.761566,62.366554,57.566353,46.246113,49.057346,56.735489,50.918606,50.872208
5/2/07,54.290916,54.11982,50.705711,73.432907,63.205639,57.881439,46.611115,49.475121,57.334164,51.324112,51.267414
5/3/07,54.813808,53.983387,50.668282,74.104225,63.754574,57.717339,46.734737,49.759548,57.576855,51.373768,51.554127
5/4/07,55.075256,54.068653,50.773087,74.049599,64.068245,57.920822,46.328537,49.910671,57.665863,51.580639,51.631611
5/7/07,55.082119,54.102757,50.855446,74.143265,64.711281,58.321217,46.458046,49.892891,57.843822,51.787533,51.786598
5/8/07,55.082119,54.000443,50.660797,74.080818,64.734818,58.012703,46.151943,50.186222,57.819569,51.638577,51.662617
5/9/07,55.494949,54.256241,50.750626,74.182297,64.985756,58.235867,46.652309,50.301773,58.256432,51.713051,52.02681
5/10/07,54.655571,53.650841,50.234066,72.792793,63.911407,57.500748,46.028309,49.644001,57.536407,50.777927,51.275166
5/11/07,55.274776,53.906643,50.346363,74.377434,64.679909,57.927391,46.652309,50.221771,57.989445,51.017921,51.786598
5/14/07,55.364212,53.736111,50.278992,74.572601,64.428986,58.242477,46.387402,49.963989,57.730576,51.092396,51.453381
5/15/07,55.4743,53.463253,50.406261,74.455513,64.750496,58.380295,45.681,49.590668,57.787212,50.910336,51.352646
5/16/07,55.955917,53.855488,50.95277,74.845825,64.938705,58.583782,45.115875,50.079556,58.102718,51.390308,51.716858
5/17/07,55.646297,53.889587,50.855446,76.032372,65.009277,58.321217,44.332932,49.972885,58.135067,51.208248,51.616123
5/18/07,56.038467,54.367092,51.12495,77.218903,65.401375,58.616611,43.885544,50.221771,58.313049,51.43169,51.678116
5/21/07,56.520084,54.520561,50.95277,77.952682,65.542519,58.800415,44.062149,50.488438,58.515301,51.572369,51.763363
5/22/07,56.582001,54.733753,50.975224,77.296959,65.417046,58.590359,44.715584,50.701763,58.660927,51.663406,51.94157
5/23/07,56.905365,54.878696,50.915337,77.531143,65.456276,57.861744,44.374153,50.275112,58.733727,51.721333,51.856339
5/24/07,56.382477,54.264767,50.758125,76.180664,64.452507,56.338875,43.632412,49.368446,58.240246,51.522724,51.344936
5/25/07,56.6852,54.39267,51.020145,77.273529,65.213158,56.306072,43.879662,49.92844,58.612377,51.597202,51.422398
5/29/07,57.084232,54.469414,51.252228,76.711487,65.252373,56.64085,45.445526,50.186222,58.887444,51.679962,51.740097
5/30/07,57.841057,54.85313,51.424416,78.280556,66.099297,57.231609,46.664074,50.595104,59.437572,51.555817,52.150806
5/31/07,57.999294,55.032188,51.431896,77.898041,66.460022,57.435078,46.475712,50.923996,59.785435,51.663406,52.073296
6/1/07,58.026825,55.322098,51.82119,78.624023,67.14225,57.159397,46.540443,51.012871,59.898689,51.828915,52.228298
6/4/07,58.150661,55.509682,51.82119,79.841797,67.126587,57.146259,46.728828,51.190659,60.092861,51.779255,52.2593
6/5/07,57.80666,55.185665,51.499287,79.490517,67.056015,56.319187,45.987099,51.057316,59.728817,51.514446,51.871841
6/6/07,57.442017,54.605839,51.162384,78.514725,66.013046,55.498722,45.67511,50.586216,59.227222,51.067566,51.468884
6/7/07,56.306789,53.736111,50.623371,76.891052,64.507385,53.627964,44.238754,49.777332,58.078442,50.297966,50.601002
6/8/07,57.022331,54.170967,50.982712,77.289177,65.573898,54.212151,44.768566,50.399551,58.919804,50.571056,51.104687
6/11/07,57.036091,54.102757,50.967743,77.819992,65.166115,54.691349,44.09745,50.328438,59.089691,50.595882,51.197681
